CustomerID,CustomerCode,CustomerName,ContactPerson,Email,Phone,Country,Address,IsActive,CreatedAt
30,CUST-0030,"Maynard, Brown and Mendoza Aviation",Michael Henry,fjones@franklin-jones.com,+1-398-356-9847x896,UK,"7365 Ross Stream, West Ronaldview, MN 20507",0,2024-03-13 08:14:42
31,CUST-0031,"Leblanc, Jones and Decker Aviation",Brent Rodgers,angelawillis@hoffman.biz,001-304-794-5198x3273,Italy,"49368 Chelsea Shoals Suite 024, Sandrastad, AL 24278",1,2023-06-01 11:21:29
32,CUST-0032,Knight Group Aviation,Patrick Bonilla,reesejason@chavez-moore.com,001-859-991-0229x0147,Germany,"3815 Rodriguez Springs Suite 840, South Tracey, AR 01508",1,2023-02-21 14:13:06
33,CUST-0033,Turner and Sons Aviation,Pamela Roberts,smithjulie@anderson.com,885.816.0607x15969,Canada,"52975 Samuel Coves Apt. 696, South Monicamouth, IN 44156",1,2023-06-25 04:19:37
34,CUST-0034,Jones Ltd Aviation,Jordan Bullock,michael23@thomas.com,+1-721-427-7997x995,South Korea,"4490 Romero Inlet Suite 700, Marieland, SD 12336",0,2024-02-26 07:41:05
35,CUST-0035,"Wheeler, Cruz and Carpenter Aviation",Nancy Williams,marcalvarez@rosario.com,618-820-3778x89255,Brazil,"905 Mark Point Suite 449, West Christopher, TN 19038",1,2024-08-02 09:07:29
36,CUST-0036,Collins-Douglas Aviation,Betty Fletcher,collinsnicholas@li-santiago.net,768-950-5423,Germany,"14188 Ebony Wells, New Nicholas, GA 24204",1,2023-01-13 13:43:16
37,CUST-0037,"Wise, Lamb and Martin Aviation",Jason Rhodes,tarabishop@bowers.info,859.477.4688,Japan,"0758 Jennifer Path, West Christopherburgh, KY 59394",1,2024-08-10 23:34:49
38,CUST-0038,"Hernandez, Kim and Potts Aviation",Jerry Bailey,perryrandy@young-vang.com,905.415.2204,Japan,"9010 Lewis Drive Suite 143, Davidbury, MT 84249",1,2024-01-08 11:48:41
39,CUST-0039,"Bryant, Rodriguez and Stein Aviation",Alexis Robertson,jennifercarter@mendez.org,(221)885-1888x88067,Japan,"Unit 4051 Box 5319, DPO AP 99680",0,2024-05-11 19:51:32
40,CUST-0040,Anderson-Bell Aviation,Marvin Greer,epollard@white.info,8439030548,Brazil,"5054 Lauren Mews, Paulfurt, MA 24987",1,2025-04-14 08:21:59
